id,product_name,department_id,price,stock_quantity
1,Acer KG251Q 24.5 Monitor,1,229.99,5
2,Cat6 10ft Patch Cable,1,6.29,908
3,HDMI Cable 15ft,1,14.99,546
4,Doritos Flavored Tortilla Chips Variety Pack 40Ct,2,16.98,241
5,Kettle Sea Salt and Vinegar 12/8.5oz,2,48.72,58
6,Frito-Lay Party Mix Variety Pack 40Ct,2,13.42,348
7,Pringles Variety Pack 10/13.7oz,2,6.83,98
8,Insignia NS-50DF710NA19 50-inch 4K Ultra HD Smart LED TVï¿½,1,299.99,10
9,Snapple Iced Tea Variety Pack 24/20oz,3,38.95,48
10,Pure Leaf Iced Tea Peach 12/18.5oz,3,13.99,24
11,Coca-Cola Coke Soda Soft Drink 12/12oz,3,5.93,74
12,Pepsi 18/12oz,3,9.49,76
13,Virgil Root Beer 24/12oz,3,56.74,18
14,Keurig B145 OfficePRO Brewing System,5,147.05,12
15,Nespresso Vertuo Coffee & Espresso w/Aeroccino Milk Frother Matte Black,5,249.95,5
16,Tylenol Extra Strength Caplets - 50/2 pks,4,16.98,29
17,Advil Coated Gel Caplet Ibuprofen 200mg 200ct,4,13.29,23
18,Dove Men+Care Body & Face Wash Deep Clean 6/13.50oz,4,33.39,43
19,Cuisinart Chef's Classic Nonstick 14in Skillet,5,33.99,14
20,KitchenAid KSM150PSGR Artisan Series 5Qt. Mixer Imperial Grey,5,293.55,11